,0,1,2,3,4,5,6,7,8,9,10,11,12,A,ActiveCases,Continent,"Country,Other",Deaths/1M pop,NewCases,NewDeaths,"Serious,Critical",Tests/1M pop,TotCases/1M pop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,Unnamed: 1
0,Total:,"1,725,029","+26,194","104,874","+2,190","389,383","1,230,772","50,001",221.3,13.5,,,All,,,,,,,,,,,,,,,
1,Total:,721,,13,,619,89,10,,,,,,,,,,,,,,,,,,,,
2,Total:,"13,721",+182,704,+7,"2,314","10,703",159,,,,,Africa,,,,,,,,,,,,,,,
3,Total:,"7,702",+94,60,+4,"3,688","3,954",85,,,,,Australia/Oceania,,,,,,,,,,,,,,,
4,Total:,"45,189",+213,"1,818",+9,"4,692","38,679",896,,,,,South America,,,,,,,,,,,,,,,
5,Total:,"280,367","+5,326","10,436",+212,"141,515","128,416","6,655",,,,,Asia,,,,,,,,,,,,,,,
6,Total:,"837,795","+17,686","71,882","+1,819","202,038","563,875","30,260",,,,,Europe,,,,,,,,,,,,,,,
7,Total:,"539,534","+2,693","19,961",+139,"34,517","485,056","11,936",,,,,North America,,,,,,,,,,,,,,,
8,Yemen,1,, ,,,1,,0.03,,,,Asia,,,,,,,,,,,,,,,
9,Saint Pierre Miquelon,1,, ,,,1,,173,,,,North America,,,,,,,,,,,,,,,
10,Timor-Leste,2,, ,,1,1,,2,,,,Asia,,,,,,,,,,,,,,,
11,Papua New Guinea,2,, ,,,2,,0.2,,72,8,Australia/Oceania,,,,,,,,,,,,,,,
12,Caribbean Netherlands,2,, ,,,2,,76,,10,381,North America,,,,,,,,,,,,,,,
13,Burundi,3,, ,,,3,,0.3,,,,Africa,,,,,,,,,,,,,,,
14,British Virgin Islands,3,, ,,2,1,,99,,,,North America,,,,,,,,,,,,,,,
15,Anguilla,3,, ,,,3,,200,,,,North America,,,,,,,,,,,,,,,
16,Western Sahara,4,, ,,,4,,7,,,,Africa,,,,,,,,,,,,,,,
17,South Sudan,4,, ,,,4,,0.4,,,,Africa,,,,,,,,,,,,,,,
18,Sao Tome and Principe,4,, ,,,4,,18,,19,87,Africa,,,,,,,,,,,,,,,
19,Gambia,4,,1 ,,2,1,,2,0.4,,,Africa,,,,,,,,,,,,,,,
20,Falkland Islands,5,, ,,1,4,,"1,437",,137,"39,368",South America,,,,,,,,,,,,,,,
21,Bhutan,5,, ,,2,3,,6,,"1,166","1,511",Asia,,,,,,,,,,,,,,,
22,St. Barth,6,, ,,1,5,,607,,,,North America,,,,,,,,,,,,,,,
23,Mauritania,7,,1 ,,2,4,,2,0.2,380,82,Africa,,,,,,,,,,,,,,,
24,Sierra Leone,8,, ,,,8,,1,,,,Africa,,,,,,,,,,,,,,,
25,Vatican City,8,, ,,2,6,,"9,988",,,,Europe,,,,,,,,,,,,,,,
26,CAR,8,, ,,,8,,2,,,,Africa,,,,,,,,,,,,,,,
27,Turks and Caicos,8,,1 ,,,7,,207,26,61,"1,576",North America,,,,,,,,,,,,,,,
28,Nicaragua,8,+1,1 ,,,7,,1,0.2,,,North America,,,,,,,,,,,,,,,
29,Cabo Verde,8,+1,1 ,,1,6,,14,2,,,Africa,,,,,,,,,,,,,,,
30,Montserrat,9,, ,,,9,1,"1,803",,36,"7,212",North America,,,,,,,,,,,,,,,
31,Nepal,9,, ,,1,8,,0.3,,"3,524",121,Asia,,,,,,,,,,,,,,,
32,MS Zaandam,9,,2 ,,,7,,,,,,,,,,,,,,,,,,,,,
33,Suriname,10,,1 ,,4,5,,17,2,,,South America,,,,,,,,,,,,,,,
34,Belize,10,,2 ,,,8,1,25,5,364,915,North America,,,,,,,,,,,,,,,
35,Seychelles,11,, ,,,11,,112,,,,Africa,,,,,,,,,,,,,,,
36,Greenland,11,, ,,11,0,,194,,770,"13,564",North America,,,,,,,,,,,,,,,
