,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotalCasesPer1Mpop,DeathsPer1Mpop,TotalTests,Tests1Mpop,Continent,Muslim,TotalPopulation,MuslimPopulation,PercentageMuslim,PercentageWorldMuslim
0,World,1787069,7326,109288,509.0,406109,1271672,50548,229,14,,,All,False,0.0,0.0,0.0,0.0
1,Europe,857878,4979,73968,343.0,211384,572526,29969,,,,,Europe,False,0.0,0.0,0.0,0.0
2,North America,569587,638,21836,44.0,39281,508470,12462,,,,,North America,False,0.0,0.0,0.0,0.0
3,USA,533115,236,20580,3.0,30502,482033,11471,1611,62,2693758,8138,North America,False,0.0,0.0,0.0,0.0
4,Asia,288753,1569,10709,112.0,143304,134740,6604,,,,,Asia,False,0.0,0.0,0.0,0.0
5,Spain,163027,,16606,,59109,87312,7371,3487,355,355000,7593,Europe,False,46659302.0,1180000.0,2.6,0.1
6,Italy,152271,,19468,,32534,100269,3381,2518,322,963473,15935,Europe,False,62246674.0,2987840.0,4.8,0.1
7,France,129654,,13832,,26391,89431,6883,1986,212,333807,5114,Europe,False,67000000.0,5720000.0,8.8,0.3
8,Germany,125452,,2871,,57400,65181,4895,1497,34,1317887,15730,Europe,False,83000000.0,5000000.0,6.0,0.2
9,China,82052,99,3339,,77575,1138,139,57,2,,,Asia,False,1390000000.0,50000000.0,3.0,2.8
10,UK,78991,,9875,,344,68772,1559,1164,145,334974,4934,Europe,False,0.0,0.0,0.0,0.0
11,Iran,70029,,4357,,41947,23725,3987,834,52,251703,2997,Asia,True,83000000.0,82500000.0,99.4,4.6
12,Turkey,52167,,1101,,2965,48101,1626,619,13,340380,4036,Asia,True,80810525.0,80700000.0,99.8,4.6
13,South America,48103,35,1952,5.0,5246,40905,1243,,,,,South America,False,0.0,0.0,0.0,0.0
14,Belgium,29647,1629,3600,254.0,6463,19584,1223,2558,311,102151,8814,Europe,False,11570762.0,879377.0,7.6,0.1
15,Switzerland,25300,193,1036,,12100,12164,386,2923,120,190000,21954,Europe,False,8492956.0,440000.0,5.2,0.1
16,Netherlands,24413,,2643,,250,21520,1384,1425,154,101534,5926,Europe,False,17254300.0,880000.0,5.1,0.1
17,Canada,23318,,653,,6428,16237,557,618,17,401552,10639,North America,False,35881659.0,1148213.0,3.2,0.1
18,Brazil,20964,2,1141,1.0,173,19650,296,99,5,62985,296,South America,False,210000000.0,1500000.0,0.7,0.1
19,Portugal,15987,,470,,266,15251,233,1568,46,162798,15966,Europe,False,10291027.0,65000.0,0.4,0.1
20,Russia,15770,2186,130,24.0,1291,14349,8,108,0.9,1200000,8223,Europe,False,146500000.0,25000000.0,17.0,1.0
21,Africa,14297,77,747,2.0,2465,11085,174,,,,,Africa,False,0.0,0.0,0.0,0.0
22,Austria,13945,139,350,13.0,6987,6608,243,1548,39,144877,16086,Europe,False,8900000.0,712000.0,8.0,0.1
23,Israel,10878,135,103,2.0,1388,9387,174,1257,12,117339,13557,Asia,False,8424904.0,1516482.0,18.0,0.1
24,S. Korea,10512,32,214,3.0,7368,2930,55,205,4,514621,10038,Asia,False,0.0,0.0,0.0,0.0
25,Sweden,10151,,887,,381,8883,789,1005,88,54700,5416,Europe,False,10182291.0,800000.0,8.1,0.1
26,Ireland,8928,,320,,25,8583,194,1808,65,53000,10734,Europe,False,5068050.0,70952.0,1.4,0.1
27,India,8504,58,289,1.0,972,7243,,6,0.2,189111,137,Asia,False,1370000000.0,195000000.0,14.2,10.9
28,Oceania,7730,28,63,3.0,3810,3857,86,,,,,Australia/Oceania,False,0.0,0.0,0.0,0.0
